2025-01-24 05:30:20, POST, admin, Created a new taxi record.
2025-01-24 05:30:22, POST, admin, Created a new taxi record.
2025-01-24 05:30:24, POST, admin, Created a new taxi record.
2025-01-24 05:30:25, POST, admin, Created a new taxi record.
2025-01-24 05:30:26, POST, admin, Created a new taxi record.
2025-01-24 05:31:19, getTaxi, id, retrieve all taxis
2025-01-24 05:31:25, getTaxi, id, retrieve all taxis
2025-01-24 05:31:28, getTaxi, id, retrieve all taxis
2025-01-24 05:36:52, getTaxi, id, retrieve all taxis
2025-01-24 05:41:06, getTaxiById, taxi_10, retrieve taxi
2025-01-24 05:41:08, getTaxiById, taxi_10, retrieve taxi
2025-01-24 05:41:21, getTaxiById, taxi_10, retrieve taxi
2025-01-24 05:41:23, getTaxiById, taxi_10, retrieve taxi
2025-01-24 05:41:23, getTaxiById, taxi_10, retrieve taxi
2025-01-24 05:41:24, getTaxiById, taxi_10, retrieve taxi
2025-01-24 05:41:38, getTaxiById, taxi_10, retrieve taxi
2025-01-24 05:41:50, getTaxiById, taxi_12, retrieve taxi
2025-01-24 05:41:51, getTaxiById, taxi_11, retrieve taxi
2025-01-24 05:41:53, getTaxiById, taxi_11, retrieve taxi
2025-01-24 05:41:54, getTaxiById, taxi_11, retrieve taxi
2025-01-24 05:41:54, getTaxiById, taxi_11, retrieve taxi
2025-01-24 06:04:18, getAllCustomers, admin, retrieve all customers
2025-01-24 08:11:18, getTaxi, id, retrieve all taxis
2025-01-24 08:11:40, getTaxiById, taxi_10, retrieve taxi
2025-01-24 08:12:03, getAllAccount, admin, retrieve all Accounts
2025-01-24 08:12:27, getAccountById, user_, retrieve Account
2025-01-24 08:12:28, getAllAccount, admin, retrieve all Accounts
2025-01-24 08:14:38, getAccountById, user_, retrieve Account
2025-01-24 08:14:43, getAccountById, user_, retrieve Account
2025-01-24 08:14:44, getAllAccount, admin, retrieve all Accounts
2025-01-24 08:17:58, getTaxi, taxi_id, retrieve all taxis
2025-01-24 08:18:01, getTaxiById, taxi_10, retrieve taxi
2025-01-24 08:18:03, getTaxiById, taxi_9, retrieve taxi
2025-01-24 08:18:10, getAllAccount, admin, retrieve all Accounts
2025-01-24 08:19:43, getAccountById, admin, retrieve Account
2025-01-24 08:19:48, getAccountById, admin, retrieve Account
2025-01-24 08:20:04, getAllAccount, admin, retrieve all Accounts
2025-01-24 08:20:11, getAccountById, admin, retrieve Account
2025-01-24 08:24:07, POST, admin, Created a new taxi record.
